Module_ID,module_size,de_in_module,total_genes,total_de,hypergeom_p,expected_overlap,enrichment_ratio,de_category,hypergeom_p_adj,significant
Module_60,86,4,39220,4653,0.9937359052852581,10.202906680265171,0.3920451421688433,Female_Unique_annotated_with_FC,1,FALSE
Module_61,86,4,39220,4653,0.9937359052852581,10.202906680265171,0.3920451421688433,Female_Unique_annotated_with_FC,1,FALSE
Module_42,126,7,39220,4653,0.9946082809931913,14.94844467108618,0.4682761420350073,Female_Unique_annotated_with_FC,1,FALSE
Module_43,125,3,39220,2813,0.9948613718314878,8.96545130035696,0.3346178457163171,Male_Unique_annotated_with_FC,1,FALSE
Module_115,43,1,39220,4653,0.9956320334580373,5.1014533401325854,0.19602257108442164,Female_Unique_annotated_with_FC,1,FALSE
Module_57,90,4,39220,4653,0.9957196368211918,10.677460479347271,0.37462091362800587,Female_Unique_annotated_with_FC,1,FALSE
Module_111,44,1,39220,4653,0.9961508110142502,5.220091789903111,0.19156751265068478,Female_Unique_annotated_with_FC,1,FALSE
Module_112,44,1,39220,4653,0.9961508110142502,5.220091789903111,0.19156751265068478,Female_Unique_annotated_with_FC,1,FALSE
Module_56,92,4,39220,4653,0.9964684343135015,10.914737378888322,0.3664769807230492,Female_Unique_annotated_with_FC,1,FALSE
Module_69,77,1,39220,2813,0.9967741391898091,5.5227180010198875,0.18107026283350494,Male_Unique_annotated_with_FC,1,FALSE
Module_22,260,18,39220,4653,0.996932092473718,30.845996940336562,0.5835441154590091,Female_Unique_annotated_with_FC,1,FALSE
Module_54,94,1,39220,2366,0.9971376052536486,5.670678225395206,0.17634574917717308,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_52,95,1,39220,2366,0.997310697978943,5.731004589495155,0.17448947813320284,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_36,160,4,39220,2813,0.9973547321823697,11.47577766445691,0.34856025595449697,Male_Unique_annotated_with_FC,1,FALSE
Module_109,47,1,39220,4653,0.9973659133117478,5.576007139214687,0.17933979907723682,Female_Unique_annotated_with_FC,1,FALSE
Module_51,96,1,39220,2366,0.9974733277190534,5.7913309535951045,0.17267187940264864,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_19,320,23,39220,4653,0.9978352339653658,37.96430392656808,0.6058322587577907,Female_Unique_annotated_with_FC,1,FALSE
Module_02,4782,15,39220,228,0.9981856469961645,27.79949005609383,0.5395782429725505,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_76,69,2,39220,4653,0.9983202941612872,8.186053034166243,0.24431798714869943,Female_Unique_annotated_with_FC,1,FALSE
Module_102,51,1,39220,4653,0.9984116108394208,6.050560938296788,0.16527393248294373,Female_Unique_annotated_with_FC,1,FALSE
Module_19,320,11,39220,2813,0.9985294173562028,22.95155532891382,0.47927035193743334,Male_Unique_annotated_with_FC,1,FALSE
Module_50,105,1,39220,2366,0.9985588778321282,6.334268230494645,0.15787143259670733,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_56,92,1,39220,2813,0.99894628115205375,6.598572157062723,0.15154793737152045,Male_Unique_annotated_with_FC,1,FALSE
Module_37,152,3,39220,2813,0.999022488197234,10.901988781234063,0.2751791494377608,Male_Unique_annotated_with_FC,1,FALSE
Module_46,113,1,39220,2366,0.9991252210789239,6.816879143294238,0.14669469400579,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_28,211,12,39220,4653,0.9992093793561974,25.032712901580826,0.4793727330784909,Female_Unique_annotated_with_FC,1,FALSE
Module_51,96,1,39220,2813,0.99921816846396,6.885466598674146,0.1452334399810404,Male_Unique_annotated_with_FC,1,FALSE
Module_23,253,7,39220,2813,0.9993338037052758,18.14607343192249,0.38575838603659746,Male_Unique_annotated_with_FC,1,FALSE
Module_53,94,3,39220,4653,0.9993575790803153,11.152014278429373,0.2690096986158552,Female_Unique_annotated_with_FC,1,FALSE
Module_13,505,38,39220,4653,0.9994906307817931,59.912417134115245,0.6342591705979109,Female_Unique_annotated_with_FC,1,FALSE
